parameter,S_i,S_Ti,interaction_gap,sobol_n,scenario,output
k_social,0.9423380978405476,0.965869128704071,0.023531030863523483,2048,misinfo_shock__perturbation,social_norms_descriptive_vax_mean
bridge_prob,0.006616771221160889,0.01649715192615986,0.00988038070499897,2048,misinfo_shock__perturbation,social_norms_descriptive_vax_mean
importation_outbreak_floor,0.0073323845863342285,0.011425946839153767,0.004093562252819538,2048,misinfo_shock__perturbation,social_norms_descriptive_vax_mean
community_incidence_baseline,0.009906172752380371,0.011411546729505062,0.001505373977124691,2048,misinfo_shock__perturbation,social_norms_descriptive_vax_mean
state_update_noise_std,0.006574451923370361,0.008804552257061005,0.0022301003336906433,2048,misinfo_shock__perturbation,social_norms_descriptive_vax_mean
incidence_alpha_vax,0.002227962017059326,0.007446748670190573,0.005218786653131247,2048,misinfo_shock__perturbation,social_norms_descriptive_vax_mean
incidence_gamma,0.006068408489227295,0.003960511647164822,0.0,2048,misinfo_shock__perturbation,social_norms_descriptive_vax_mean
importation_targeted_local_bump,0.0037640929222106934,0.0015624079387634993,0.0,2048,misinfo_shock__perturbation,social_norms_descriptive_vax_mean
k_social,0.9423380978405476,0.965869128704071,0.023531030863523483,2048,misinfo_shock__shock,social_norms_descriptive_vax_mean
bridge_prob,0.006616771221160889,0.01649715192615986,0.00988038070499897,2048,misinfo_shock__shock,social_norms_descriptive_vax_mean
importation_outbreak_floor,0.0073323845863342285,0.011425946839153767,0.004093562252819538,2048,misinfo_shock__shock,social_norms_descriptive_vax_mean
community_incidence_baseline,0.009906172752380371,0.011411546729505062,0.001505373977124691,2048,misinfo_shock__shock,social_norms_descriptive_vax_mean
state_update_noise_std,0.006574451923370361,0.008804552257061005,0.0022301003336906433,2048,misinfo_shock__shock,social_norms_descriptive_vax_mean
incidence_alpha_vax,0.002227962017059326,0.007446748670190573,0.005218786653131247,2048,misinfo_shock__shock,social_norms_descriptive_vax_mean
incidence_gamma,0.006068408489227295,0.003960511647164822,0.0,2048,misinfo_shock__shock,social_norms_descriptive_vax_mean
importation_targeted_local_bump,0.0037640929222106934,0.0015624079387634993,0.0,2048,misinfo_shock__shock,social_norms_descriptive_vax_mean
k_social,0.9941223580390215,0.9947417378425598,0.0006193798035383224,2048,norm_campaign__perturbation,vax_willingness_T12_mean
importation_outbreak_floor,0.0023947954177856445,0.0025967396795749664,0.0002019442617893219,2048,norm_campaign__perturbation,vax_willingness_T12_mean
incidence_gamma,0.0036377310752868652,0.0024108942598104477,0.0,2048,norm_campaign__perturbation,vax_willingness_T12_mean
incidence_alpha_vax,0.0021132826805114746,0.0012593665160238743,0.0,2048,norm_campaign__perturbation,vax_willingness_T12_mean
bridge_prob,0.0016609430313110352,0.0003953831037506461,0.0,2048,norm_campaign__perturbation,vax_willingness_T12_mean
community_incidence_baseline,0.0013497471809387207,0.0002991043438669294,0.0,2048,norm_campaign__perturbation,vax_willingness_T12_mean
state_update_noise_std,0.0007377266883850098,0.00017145877063740045,0.0,2048,norm_campaign__perturbation,vax_willingness_T12_mean
importation_targeted_local_bump,0.0008862614631652832,0.00008767535473452881,0.0,2048,norm_campaign__perturbation,vax_willingness_T12_mean
k_social,0.9967813207767904,0.9973241686820984,0.0005428479053080082,2048,norm_campaign__perturbation,mask_when_pressure_high_mean
incidence_gamma,0.0023082494735717773,0.0015079701552167535,0.0,2048,norm_campaign__perturbation,mask_when_pressure_high_mean
importation_outbreak_floor,0.0013140439987182617,0.0009104955242946744,0.0,2048,norm_campaign__perturbation,mask_when_pressure_high_mean
incidence_alpha_vax,0.0010672211647033691,0.000632754061371088,0.0,2048,norm_campaign__perturbation,mask_when_pressure_high_mean
community_incidence_baseline,0.001250922679901123,0.00041104538831859827,0.0,2048,norm_campaign__perturbation,mask_when_pressure_high_mean
state_update_noise_std,0.0007477998733520508,0.0002789430436678231,0.0,2048,norm_campaign__perturbation,mask_when_pressure_high_mean
bridge_prob,0.0013946294784545898,0.0002499868569429964,0.0,2048,norm_campaign__perturbation,mask_when_pressure_high_mean
importation_targeted_local_bump,0.0008449554443359375,0.00009994251013267785,0.0,2048,norm_campaign__perturbation,mask_when_pressure_high_mean
k_social,0.9965578292030841,0.9965296387672424,0.0,2048,norm_campaign__perturbation,social_norms_descriptive_vax_mean
incidence_gamma,0.0028365254402160645,0.0018789054593071342,0.0,2048,norm_campaign__perturbation,social_norms_descriptive_vax_mean
importation_outbreak_floor,0.0013401508331298828,0.0012011684011667967,0.0,2048,norm_campaign__perturbation,social_norms_descriptive_vax_mean
incidence_alpha_vax,0.0013371706008911133,0.0008725068182684481,0.0,2048,norm_campaign__perturbation,social_norms_descriptive_vax_mean
bridge_prob,0.0016488432884216309,0.000276041537290439,0.0,2048,norm_campaign__perturbation,social_norms_descriptive_vax_mean
state_update_noise_std,0.0011936426162719727,0.0001718452258501202,0.0,2048,norm_campaign__perturbation,social_norms_descriptive_vax_mean
community_incidence_baseline,0.0010163187980651855,0.00009973246051231399,0.0,2048,norm_campaign__perturbation,social_norms_descriptive_vax_mean
importation_targeted_local_bump,0.0009326934814453125,0.000053569725423585624,0.0,2048,norm_campaign__perturbation,social_norms_descriptive_vax_mean
k_social,0.9940912835299969,0.9945300221443176,0.000438738614320755,2048,norm_campaign__shock,vax_willingness_T12_mean
importation_outbreak_floor,0.002774536609649658,0.0026828241534531116,0.0,2048,norm_campaign__shock,vax_willingness_T12_mean
incidence_gamma,0.004007399082183838,0.0024410486221313477,0.0,2048,norm_campaign__shock,vax_willingness_T12_mean
incidence_alpha_vax,0.002499997615814209,0.0012041556183248758,0.0,2048,norm_campaign__shock,vax_willingness_T12_mean
bridge_prob,0.0020014047622680664,0.0004056829202454537,0.0,2048,norm_campaign__shock,vax_willingness_T12_mean
community_incidence_baseline,0.0016561150550842285,0.00030021637212485075,0.0,2048,norm_campaign__shock,vax_willingness_T12_mean
state_update_noise_std,0.0012004971504211426,0.00016816290735732764,0.0,2048,norm_campaign__shock,vax_willingness_T12_mean
importation_targeted_local_bump,0.0013213157653808594,0.00008900832472136244,0.0,2048,norm_campaign__shock,vax_willingness_T12_mean
k_social,0.9967636393848807,0.9972344040870667,0.0004707647021859884,2048,norm_campaign__shock,mask_when_pressure_high_mean
incidence_gamma,0.0024514198303222656,0.00153303612023592,0.0,2048,norm_campaign__shock,mask_when_pressure_high_mean
importation_outbreak_floor,0.0013650059700012207,0.0009231034200638533,0.0,2048,norm_campaign__shock,mask_when_pressure_high_mean
incidence_alpha_vax,0.0011933445930480957,0.0006652377196587622,0.0,2048,norm_campaign__shock,mask_when_pressure_high_mean
community_incidence_baseline,0.001295626163482666,0.0003964022034779191,0.0,2048,norm_campaign__shock,mask_when_pressure_high_mean
bridge_prob,0.001457512378692627,0.00027263103402219713,0.0,2048,norm_campaign__shock,mask_when_pressure_high_mean
state_update_noise_std,0.0008680820465087891,0.0002223042247351259,0.0,2048,norm_campaign__shock,mask_when_pressure_high_mean
importation_targeted_local_bump,0.0008552074432373047,0.00009126924851443619,0.0,2048,norm_campaign__shock,mask_when_pressure_high_mean
k_social,0.9965616001281887,0.9965372085571289,0.0,2048,norm_campaign__shock,social_norms_descriptive_vax_mean
incidence_gamma,0.0028978586196899414,0.001874069101177156,0.0,2048,norm_campaign__shock,social_norms_descriptive_vax_mean
importation_outbreak_floor,0.0014292597770690918,0.0012309311423450708,0.0,2048,norm_campaign__shock,social_norms_descriptive_vax_mean
incidence_alpha_vax,0.001386106014251709,0.0008770385757088661,0.0,2048,norm_campaign__shock,social_norms_descriptive_vax_mean
bridge_prob,0.0016646981239318848,0.0002747596590779722,0.0,2048,norm_campaign__shock,social_norms_descriptive_vax_mean
state_update_noise_std,0.0012352466583251953,0.0001717218547128141,0.0,2048,norm_campaign__shock,social_norms_descriptive_vax_mean
community_incidence_baseline,0.0011559128761291504,0.00010610588651616126,0.0,2048,norm_campaign__shock,social_norms_descriptive_vax_mean
importation_targeted_local_bump,0.0009945034980773926,0.00005353785309125669,0.0,2048,norm_campaign__shock,social_norms_descriptive_vax_mean
k_social,0.7138940393924713,0.7624779939651489,0.04858395457267761,2048,access_intervention__perturbation,vax_willingness_T12_mean
community_incidence_baseline,0.10089254379272461,0.15009284019470215,0.04920029640197754,2048,access_intervention__perturbation,vax_willingness_T12_mean
importation_outbreak_floor,0.09025007486343384,0.09869424253702164,0.008444167673587799,2048,access_intervention__perturbation,vax_willingness_T12_mean
incidence_gamma,0.011307299137115479,0.016630306839942932,0.005323007702827454,2048,access_intervention__perturbation,vax_willingness_T12_mean
state_update_noise_std,0.0037401318550109863,0.015275327488780022,0.011535195633769035,2048,access_intervention__perturbation,vax_willingness_T12_mean
