scenario,effect_regime,n_runs,final_vax_effect,final_npi_effect,vax_auc,npi_auc,reference_scenario,burn_in_tick,n_relative_runs,post_burn_final_vax_vs_baseline_importation,post_burn_final_npi_vs_baseline_importation,post_burn_vax_auc_vs_baseline_importation,post_burn_npi_auc_vs_baseline_importation
access_barrier_shock,perturbation,10,0.00017500000000003624,-0.00012499999999991592,0.002312499999999984,-0.00029583333333339876,q25_to_q75_high_minus_low,12,10,0.00017500000000003624,-0.00012499999999991592,0.0021499999999999853,-0.00048333333333352426
access_barrier_shock,shock,10,-0.10562500000000004,0.017208333333333343,-5.443162500000001,-0.02110416666666851,baseline_importation,12,10,-0.010270000000000001,0.007949999999999768,-0.6631599999999999,-0.10232416666666663
access_intervention,perturbation,10,0.0002249999999999641,-0.0003500000000000132,0.001687500000000086,-0.00019999999999953397,q25_to_q75_high_minus_low,12,10,0.0002249999999999641,-0.0003500000000000132,0.0017375000000000363,0.0002583333333337526
access_intervention,shock,10,-0.10310000000000001,0.016641666666666576,-5.105950000000001,-0.2994375000000017,baseline_importation,12,10,-0.007744999999999979,0.007383333333333297,-0.3260100000000007,-0.3802366666666658
baseline,perturbation,10,0.00017000000000000348,-3.666666666667004e-05,-0.0017650000000003052,0.0005583333333330239,q25_to_q75_high_minus_low,12,10,0.00017000000000000348,-3.666666666667004e-05,-0.001830000000000287,0.0006416666666664739
baseline_importation,perturbation,10,-3.0000000000063308e-05,0.00011999999999998679,0.0007050000000002887,0.00012000000000006077,q25_to_q75_high_minus_low,12,10,-3.0000000000063308e-05,0.00011999999999998679,0.0008900000000002129,0.00013999999999986617
baseline_importation,shock,16,-0.09871250000000006,0.030164583333333307,-4.710859375000001,0.892740624999999,baseline_importation,12,16,0.0,0.0,0.0,0.0
baseline_importation_no_communication,perturbation,10,0.0,0.0,0.0,0.0,q25_to_q75_high_minus_low,12,10,0.0,0.0,0.0,0.0
baseline_importation_no_observed_norms,perturbation,10,0.0,0.0,0.0,0.0,q25_to_q75_high_minus_low,12,10,0.0,0.0,0.0,0.0
baseline_importation_no_peer_pull,perturbation,10,9.999999999976694e-06,6.666666666621523e-06,-1.500000000005386e-05,0.00019000000000010493,q25_to_q75_high_minus_low,12,10,9.999999999976694e-06,6.666666666621523e-06,6.999999999994788e-05,0.0002216666666668162
baseline_no_communication,perturbation,10,0.0,0.0,0.0,0.0,q25_to_q75_high_minus_low,12,10,0.0,0.0,0.0,0.0
baseline_no_observed_norms,perturbation,10,0.0,0.0,0.0,0.0,q25_to_q75_high_minus_low,12,10,0.0,0.0,0.0,0.0
baseline_no_peer_pull,perturbation,10,0.00011999999999989797,-3.666666666661082e-05,-0.000180000000000069,0.0002850000000003867,q25_to_q75_high_minus_low,12,10,0.00011999999999989797,-3.666666666661082e-05,0.0003700000000000481,3.333333333365526e-05
misinfo_shock,perturbation,10,0.13304999999999997,0.0638749999999999,2.9136250000000006,1.4093124999999997,q25_to_q75_high_minus_low,12,10,0.13304999999999997,0.0638749999999999,2.9129500000000004,1.4090166666666666
misinfo_shock,shock,10,-0.12423999999999999,0.0021300000000000685,-6.346020000000001,-0.21929166666666702,baseline_importation,12,10,-0.023299999999999967,-0.004133333333333411,-1.4136600000000008,-0.1626049999999993
misinfo_shock_targeted,perturbation,10,0.030849999999999954,0.014646666666666638,0.690645,0.32894666666666594,q25_to_q75_high_minus_low,12,10,0.030849999999999954,0.014646666666666638,0.6902999999999999,0.32917833333333274
misinfo_shock_targeted,shock,10,-0.10618000000000002,0.005140000000000011,-5.27032,-0.09288333333333429,baseline_importation,12,10,-0.00524,-0.001123333333333587,-0.3383500000000006,-0.03600166666666604
misinfo_trust_erosion_only,perturbation,10,0.13247500000000004,0.06336666666666663,2.9148874999999994,1.4083083333333333,q25_to_q75_high_minus_low,12,10,0.13247500000000004,0.06336666666666663,2.914675,1.4087666666666667
misinfo_trust_erosion_only,shock,10,-0.12397499999999999,0.01459166666666659,-6.4774875000000005,-0.2837125000000017,baseline_importation,12,10,-0.028619999999999958,0.005333333333333012,-1.6984475000000003,-0.36480749999999873
norm_campaign,perturbation,10,-0.0002750000000000696,0.0002416666666665771,-0.0019375000000000585,-0.0003125000000003078,q25_to_q75_high_minus_low,12,10,-0.0002750000000000696,0.0002416666666665771,-0.0010124999999999496,-2.0833333333432727e-05
norm_campaign,shock,10,-0.09402000000000003,0.010246666666666588,-4.07549,0.7289333333333323,baseline_importation,12,10,0.006919999999999993,0.003983333333333228,0.8566599999999995,0.7857783333333329
norm_shift_campaign,perturbation,10,0.2516600000000001,0.20868000000000006,8.10073,7.499983333333333,q25_to_q75_high_minus_low,12,10,0.2516600000000001,0.20868000000000006,8.101165,7.4998716666666665
norm_shift_campaign,shock,10,-0.08127499999999994,0.028224999999999972,-2.5677624999999997,2.178070833333331,baseline_importation,12,10,0.014080000000000092,0.018966666666666486,2.2121775,2.0972716666666664
