scenario,n_vax_auc,delta_vax_auc,delta_vax_auc_ci_low,delta_vax_auc_ci_high,n_mask_auc,delta_mask_auc,delta_mask_auc_ci_low,delta_mask_auc_ci_high
access_barrier_shock,40,-174.74859500000002,-175.7648677304324,-173.73232226956765,40,-237.21819500000007,-238.43207160115605,-236.00431839884408
access_intervention,40,-169.70321999999993,-170.71695511764133,-168.68948488235853,40,-238.365445,-239.58144960318063,-237.14944039681936
baseline,0,,,,0,,,
baseline_importation,0,,,,0,,,
baseline_importation_no_communication,40,-131.56282000000007,-132.09521763377285,-131.0304223662273,40,-240.32522,-241.08834674026681,-239.5620932597332
baseline_importation_no_observed_norms,40,-160.1562200000001,-160.72366822756848,-159.58877177243173,40,-232.8290199999999,-233.87423914919412,-231.78380085080568
baseline_importation_no_peer_pull,40,-132.25921999999997,-132.981790146087,-131.53664985391293,40,-240.64142000000007,-241.44233686129982,-239.8405031387003
baseline_no_communication,0,,,,0,,,
baseline_no_observed_norms,40,1.0710399999999995,0.6555258859207413,1.4865541140792577,40,0.9730800000000066,0.16291295267703343,1.7832470473229798
baseline_no_peer_pull,40,23.420320000000007,22.873067377116246,23.967572622883768,40,-5.433560000000003,-6.043449894514031,-4.8236701054859745
misinfo_shock,40,-176.21331999999995,-176.86101381642968,-175.56562618357023,40,-230.37927000000008,-231.17617474598742,-229.58236525401273
misinfo_shock_targeted,40,-164.92516999999998,-165.0811246353672,-164.76921536463277,40,-233.03896999999998,-233.2030541261617,-232.87488587383825
misinfo_trust_erosion_only,40,-176.60109499999996,-177.58651088364684,-175.61567911635308,40,-229.695945,-230.90474024849553,-228.48714975150446
norm_campaign,40,-164.12387,-164.7915633723443,-163.4561766276557,40,-231.58277000000007,-232.4058391217901,-230.75970087821003
norm_shift_campaign,40,-109.11512,-109.50849504111457,-108.72174495888544,40,-165.76914500000004,-166.1768030703669,-165.36148692963317
null_world,50,246.73757000000015,246.28306376696233,247.19207623303797,50,233.15484,232.4924963158944,233.8171836841056
outbreak_global_incidence_moderate,40,-158.87971999999996,-159.55524824692594,-158.20419175307399,40,-227.36681999999988,-228.1776718386497,-226.55596816135005
outbreak_global_incidence_strong,40,-151.07092000000006,-151.7409172326118,-150.40092276738832,40,-219.4933200000001,-220.2791626621747,-218.70747733782548
outbreak_local_incidence_moderate,46,-146.42663695652166,-163.00930687464992,-129.8439670383934,46,-205.88082173913043,-229.19065543225543,-182.57098804600543
outbreak_local_incidence_strong,46,-141.42479999999998,-157.43318336347613,-125.41641663652382,46,-203.52001739130438,-226.55410722996925,-180.4859275526395
outbreak_local_salience,40,-168.29957,-168.96667329136244,-167.63246670863754,40,-236.75121999999996,-237.5603691769288,-235.94207082307113
outbreak_misinfo_combined,40,-158.71481999999997,-159.37068887010574,-158.0589511298942,40,-228.93866999999995,-229.73166372601753,-228.14567627398236
outbreak_salience_global,40,-153.805345,-154.81418460323763,-152.79650539676234,40,-236.575695,-237.78162720828374,-235.36976279171625
side_effects_activation_only,40,-170.99017,-171.65184756892683,-170.3284924310732,40,-238.67122,-239.49555047807354,-237.84688952192647
social_only,38,5.768486842105275,-46.140336332012865,57.677310016223416,38,9.481326315789458,-65.49163762356162,84.45429025514053
targeted_norm_seed,40,-168.95662000000002,-169.45391699890467,-168.45932300109536,40,-236.14156999999983,-237.02295265288006,-235.2601873471196
trust_repair_bundle,40,-521.00702,-521.545048979583,-520.468991020417,40,-163.78761999999992,-164.61975345700816,-162.95548654299168
trust_repair_institutional,40,-66.68451999999999,-67.27581613925649,-66.09322386074349,40,-160.17832,-161.03185050976833,-159.3247894902317
trust_repair_legitimacy,40,-601.4222200000003,-601.8888499686417,-600.9555900313588,40,-246.67022000000003,-247.49695836860215,-245.8434816313979
trust_scandal_bundle,40,-532.1449199999998,-532.6821047911726,-531.6077352088271,40,-166.5286199999999,-167.35064741821955,-165.70659258178026
trust_scandal_institutional,40,-114.86841999999999,-115.44236003290176,-114.29447996709821,40,-196.84236999999993,-197.6962580435662,-195.98848195643367
trust_scandal_legitimacy,40,-407.9167700000002,-408.52753255871784,-407.3060074412826,40,-250.76756999999992,-251.61689540125548,-249.91824459874437
