variable,n,median,iqr,missing_pct
M_education,22246,1.0,1.0,0.0
M_income,21118,3.0,2.0,5.070574485300728
att_climate_harm,22246,6.0,2.0,0.0
att_immigration_tolerance,22246,4.0,2.0,0.0
att_lgbt_adoption_rights,22246,5.0,3.0,0.0
att_vaccines_importance,22246,5.0,3.0,0.0
booking,22246,4.0,2.0,0.0
colleagues_climate_harm,12232,5.0,2.0,45.014834127483596
colleagues_immigration_tolerance,11546,4.0,2.0,48.09853456801223
colleagues_lgbt_adoption_rights,11609,5.0,2.0,47.815337588780004
colleagues_vaccines_importance,12347,5.0,2.0,44.497887260631124
covid_disease_fear,22246,2.0,2.0,0.0
covid_infection_likelihood_current,22246,2.0,1.0,0.0
covid_perceived_danger_T12,22246,3.0,2.0,0.0
covid_perceived_danger_T3,22246,3.0,2.0,0.0
covid_perceived_danger_T4,18717,2.0,1.0,15.863526027150948
covid_perceived_danger_Y,22246,1.0,1.0,0.0
covid_perceived_danger_pre,10270,2.0,2.0,53.83439719500135
covid_severity_if_infected,17148,2.0,1.0,22.916479367077226
covid_vaccine_comfort,22246,4.0,2.0,0.0
covid_vaccine_fear,22246,2.0,2.0,0.0
covid_vaccine_risk,22246,2.0,1.0,0.0
fivec_calculation,22246,5.0,2.0,0.0
fivec_collective_responsibility,22246,6.0,3.0,0.0
fivec_confidence,22246,5.0,3.0,0.0
fivec_low_complacency,22246,6.0,3.0,0.0
fivec_low_constraints,22246,6.0,3.0,0.0
flu_disease_fear,22246,2.0,1.0,0.0
flu_infection_likelihood_current,22246,3.0,1.0,0.0
flu_severity_if_infected,20231,2.0,1.0,9.057808145284547
flu_vaccine_fear,22246,2.0,1.0,0.0
flu_vaccine_risk,22246,2.0,2.0,0.0
friend_closure,22246,4.0,3.0,0.0
friends_climate_harm,18865,6.0,3.0,15.198237885462554
friends_immigration_tolerance,17858,3.0,2.0,19.724894363031556
friends_lgbt_adoption_rights,18036,5.0,2.0,18.92475051694687
friends_vaccines_importance,19013,5.0,2.0,14.532949743774163
health_good,22183,2.0,1.0,0.28319697923222154
info_trust_vax_facebook,12132,2.0,2.0,45.46435314213792
info_trust_vax_instagram,9456,2.0,2.0,57.493481974287505
info_trust_vax_internet_searches,12301,3.0,1.0,44.70466600737211
info_trust_vax_linkedin,2339,3.0,1.0,89.48575024723546
info_trust_vax_online_news,6539,3.0,2.0,70.60595163175402
info_trust_vax_other,248,2.0,2.0,98.8851928436573
info_trust_vax_podcast,3471,3.0,1.0,84.39719500134856
info_trust_vax_print,5069,3.0,2.0,77.21388114717253
info_trust_vax_radio,8486,3.0,1.0,61.85381641643441
info_trust_vax_reddit,1293,2.0,1.0,94.18771914051965
info_trust_vax_telegram,2272,2.0,2.0,89.78692798705386
info_trust_vax_television,14873,3.0,1.0,33.14303695046301
info_trust_vax_tiktok,6601,2.0,2.0,70.32724984266835
info_trust_vax_twitter,4255,2.0,1.0,80.87296592645869
info_trust_vax_wikipedia,6286,3.0,2.0,71.74323473882946
info_trust_vax_youtube,12533,2.0,1.0,43.66178189337409
marital_status,22246,3.0,2.0,0.0
mask_when_pressure_high,22246,5.0,3.0,0.0
mask_when_symptomatic_crowded,22246,5.0,3.0,0.0
measles_disease_fear,22246,2.0,2.0,0.0
measles_infection_likelihood_current,22246,1.0,1.0,0.0
measles_vaccine_fear,22246,1.0,1.0,0.0
measles_vaccine_risk,22246,2.0,1.0,0.0
measles_vaccine_safety,22246,4.0,1.0,0.0
meningitis_disease_fear,22246,3.0,2.0,0.0
meningitis_infection_likelihood_current,22246,2.0,1.0,0.0
meningitis_vaccine_fear,22246,2.0,1.0,0.0
meningitis_vaccine_risk,22246,2.0,1.0,0.0
mfq_agreement_1,22246,5.0,2.0,0.0
mfq_agreement_11,22246,4.0,2.0,0.0
mfq_agreement_2,22246,6.0,1.0,0.0
mfq_agreement_3,22246,4.0,2.0,0.0
mfq_agreement_4,22246,5.0,2.0,0.0
mfq_agreement_5,22246,5.0,2.0,0.0
mfq_agreement_6,22246,6.0,1.0,0.0
mfq_agreement_7,22246,6.0,2.0,0.0
mfq_agreement_8,22246,5.0,2.0,0.0
mfq_agreement_9,22246,4.0,2.0,0.0
mfq_agreement_authority_gender_roles,22246,4.0,2.0,0.0
mfq_relevance_10,22246,3.0,2.0,0.0
