model,outcome,block,kind,metric,baseline_value,delta,rel_delta,block_strength,baseline_nobs,baseline_blocks,sample_strategy,variant_nobs,baseline_spec,variant_spec,lobo_bic_weight,soaking_r2,soaking_nobs
B_COVID_MAIN_vax_willingness_Y,vax_willingness_Y,controls_demography_SES,lobo,pseudo_r2,0.13718230289745562,0.0031162437277824917,0.022716076796814658,negligible,22246,ALL,core_fixed,22246,B_COVID_MAIN_vax_willingness_Y::core,B_COVID_MAIN_vax_willingness_Y::core-minus-controls_demography_SES,,0.11479708471068861,22246.0
B_COVID_MAIN_vax_willingness_Y,vax_willingness_Y,controls_demography_SES,lobo,bic,47083.82669945578,108.14963079567679,,,22246,ALL,core_fixed,22246,B_COVID_MAIN_vax_willingness_Y::core,B_COVID_MAIN_vax_willingness_Y::core-minus-controls_demography_SES,0.040736311907294646,0.11479708471068861,22246.0
B_COVID_MAIN_vax_willingness_Y,vax_willingness_Y,health_history_engine,lobo,pseudo_r2,0.13718230289745562,0.0005935134357291649,0.004326457736846851,negligible,22246,ALL,core_fixed,22246,B_COVID_MAIN_vax_willingness_Y::core,B_COVID_MAIN_vax_willingness_Y::core-minus-health_history_engine,,0.06961227946557103,22246.0
B_COVID_MAIN_vax_willingness_Y,vax_willingness_Y,health_history_engine,lobo,bic,47083.82669945578,-28.02273545103526,,,22246,ALL,core_fixed,22246,B_COVID_MAIN_vax_willingness_Y::core,B_COVID_MAIN_vax_willingness_Y::core-minus-health_history_engine,0.0,0.06961227946557103,22246.0
B_COVID_MAIN_vax_willingness_Y,vax_willingness_Y,disposition_engine,lobo,pseudo_r2,0.13718230289745562,0.017767482716161728,0.12951730901793507,small,22246,ALL,core_fixed,22246,B_COVID_MAIN_vax_willingness_Y::core,B_COVID_MAIN_vax_willingness_Y::core-minus-disposition_engine,,0.41515123880659144,22246.0
B_COVID_MAIN_vax_willingness_Y,vax_willingness_Y,disposition_engine,lobo,bic,47083.82669945578,919.0165443592778,,,22246,ALL,core_fixed,22246,B_COVID_MAIN_vax_willingness_Y::core,B_COVID_MAIN_vax_willingness_Y::core-minus-disposition_engine,0.34616248177224623,0.41515123880659144,22246.0
B_COVID_MAIN_vax_willingness_Y,vax_willingness_Y,stakes_engine,lobo,pseudo_r2,0.13718230289745562,0.021693568340924146,0.1581367850132986,medium,22246,ALL,core_fixed,22246,B_COVID_MAIN_vax_willingness_Y::core,B_COVID_MAIN_vax_willingness_Y::core-minus-stakes_engine,,0.24108601937202379,22246.0
B_COVID_MAIN_vax_willingness_Y,vax_willingness_Y,stakes_engine,lobo,bic,47083.82669945578,1140.9493817550247,,,22246,ALL,core_fixed,22246,B_COVID_MAIN_vax_willingness_Y::core,B_COVID_MAIN_vax_willingness_Y::core-minus-stakes_engine,0.4297570832527115,0.24108601937202379,22246.0
B_COVID_MAIN_vax_willingness_Y,vax_willingness_Y,vaccine_cost_engine,lobo,pseudo_r2,0.13718230289745562,0.0012927187517718097,0.009423363833876756,negligible,22246,ALL,core_fixed,22246,B_COVID_MAIN_vax_willingness_Y::core,B_COVID_MAIN_vax_willingness_Y::core-minus-vaccine_cost_engine,,0.3008009805274868,22246.0
B_COVID_MAIN_vax_willingness_Y,vax_willingness_Y,vaccine_cost_engine,lobo,bic,47083.82669945578,59.768675909086596,,,22246,ALL,core_fixed,22246,B_COVID_MAIN_vax_willingness_Y::core,B_COVID_MAIN_vax_willingness_Y::core-minus-vaccine_cost_engine,0.022512840831777365,0.3008009805274868,22246.0
