model,group,outcome,type,nobs,pseudo_r2,formula,description
B_COVID_MAIN_vax_willingness_Y,B_COVID,vax_willingness_Y,ordinal,22246,0.14469226103139726,"vax_willingness_Y ~ age + sex_female + M_education + income_ppp_norm + minority + M_religion + medical_conditions_c + health_good + covid_num + exper_illness + side_effects + side_effects_other + fivec_collective_responsibility + fivec_confidence + fivec_low_complacency + fivec_low_constraints + disease_fear_avg + infection_likelihood_avg + severity_if_infected_avg + vaccine_risk_avg + trust_national_health_institutions_vax_info + trust_who_vax_info + trust_gp_vax_info + trust_national_gov_vax_info + trust_local_health_authorities_vax_info + group_trust_vax + family_progressive_norms_nonvax_idx + friends_progressive_norms_nonvax_idx + colleagues_progressive_norms_nonvax_idx + social_norms_vax_avg + moral_progressive_orientation + mfq_agreement_binding_idx + mfq_relevance_binding_idx + trust_traditional + trust_onlineinfo + trust_social + duration_socialmedia + duration_infomedia + contact_group_cohabitant + contact_group_noncohabitant + contact_group_friends + contact_group_colleagues + contact_group_others + discussion_group_cohabitant + discussion_group_noncohabitant + discussion_group_friends + discussion_group_colleagues + discussion_group_others + vax_convo_freq_cohabitants + vax_convo_freq_friends + vax_convo_freq_others + vax_convo_count_cohabitants + vax_convo_count_friends + vax_convo_count_others + M_religion_missing + colleagues_progressive_norms_nonvax_idx_missing + exper_illness_missing + family_progressive_norms_nonvax_idx_missing + friends_progressive_norms_nonvax_idx_missing + group_trust_vax_missing + health_good_missing + income_ppp_norm_missing + medical_conditions_c_missing + minority_missing + severity_if_infected_avg_missing + side_effects_missing + side_effects_other_missing + social_norms_vax_avg_missing + trust_onlineinfo_missing + trust_social_missing + trust_traditional_missing + family_progressive_norms_nonvax_idx:fivec_collective_responsibility + trust_social:duration_socialmedia + C(country, Treatment(reference='IT'))",Full decision rule for current COVID booster willingness (ABM backbone)
B_COVID_MAIN_vax_willingness_Y_PN_ITEMS,B_COVID,vax_willingness_Y,ordinal,22246,0.14593135073154237,"vax_willingness_Y ~ age + sex_female + M_education + income_ppp_norm + minority + M_religion + medical_conditions_c + health_good + covid_num + exper_illness + side_effects + side_effects_other + fivec_collective_responsibility + fivec_confidence + fivec_low_complacency + fivec_low_constraints + disease_fear_avg + infection_likelihood_avg + severity_if_infected_avg + vaccine_risk_avg + trust_national_health_institutions_vax_info + trust_who_vax_info + trust_gp_vax_info + trust_national_gov_vax_info + trust_local_health_authorities_vax_info + group_trust_vax + family_climate_harm + family_lgbt_adoption_rights + family_immigration_tolerance + friends_climate_harm + friends_lgbt_adoption_rights + friends_immigration_tolerance + colleagues_climate_harm + colleagues_lgbt_adoption_rights + colleagues_immigration_tolerance + social_norms_vax_avg + moral_progressive_orientation + mfq_agreement_binding_idx + mfq_relevance_binding_idx + trust_traditional + trust_onlineinfo + trust_social + duration_socialmedia + duration_infomedia + contact_group_cohabitant + contact_group_noncohabitant + contact_group_friends + contact_group_colleagues + contact_group_others + discussion_group_cohabitant + discussion_group_noncohabitant + discussion_group_friends + discussion_group_colleagues + discussion_group_others + vax_convo_freq_cohabitants + vax_convo_freq_friends + vax_convo_freq_others + vax_convo_count_cohabitants + vax_convo_count_friends + vax_convo_count_others + M_religion_missing + colleagues_climate_harm_missing + colleagues_immigration_tolerance_missing + colleagues_lgbt_adoption_rights_missing + exper_illness_missing + family_climate_harm_missing + family_immigration_tolerance_missing + family_lgbt_adoption_rights_missing + friends_climate_harm_missing + friends_immigration_tolerance_missing + friends_lgbt_adoption_rights_missing + group_trust_vax_missing + health_good_missing + income_ppp_norm_missing + medical_conditions_c_missing + minority_missing + severity_if_infected_avg_missing + side_effects_missing + side_effects_other_missing + social_norms_vax_avg_missing + trust_onlineinfo_missing + trust_social_missing + trust_traditional_missing + family_climate_harm:fivec_collective_responsibility + family_lgbt_adoption_rights:fivec_collective_responsibility + family_immigration_tolerance:fivec_collective_responsibility + trust_social:duration_socialmedia + C(country, Treatment(reference='IT'))",Full decision rule for current COVID booster willingness (ABM backbone) (peer norms item-level)
B_COVID_MAIN_vax_willingness_Y_HABIT,B_COVID,vax_willingness_Y,ordinal,22246,0.1613793461858852,"vax_willingness_Y ~ age + sex_female + M_education + income_ppp_norm + minority + M_religion + medical_conditions_c + health_good + covid_num + exper_illness + side_effects + side_effects_other + covax_num + fivec_collective_responsibility + fivec_confidence + fivec_low_complacency + fivec_low_constraints + disease_fear_avg + infection_likelihood_avg + severity_if_infected_avg + vaccine_risk_avg + trust_national_health_institutions_vax_info + trust_who_vax_info + trust_gp_vax_info + trust_national_gov_vax_info + trust_local_health_authorities_vax_info + group_trust_vax + family_progressive_norms_nonvax_idx + friends_progressive_norms_nonvax_idx + colleagues_progressive_norms_nonvax_idx + social_norms_vax_avg + moral_progressive_orientation + mfq_agreement_binding_idx + mfq_relevance_binding_idx + trust_traditional + trust_onlineinfo + trust_social + duration_socialmedia + duration_infomedia + contact_group_cohabitant + contact_group_noncohabitant + contact_group_friends + contact_group_colleagues + contact_group_others + discussion_group_cohabitant + discussion_group_noncohabitant + discussion_group_friends + discussion_group_colleagues + discussion_group_others + vax_convo_freq_cohabitants + vax_convo_freq_friends + vax_convo_freq_others + vax_convo_count_cohabitants + vax_convo_count_friends + vax_convo_count_others + M_religion_missing + colleagues_progressive_norms_nonvax_idx_missing + exper_illness_missing + family_progressive_norms_nonvax_idx_missing + friends_progressive_norms_nonvax_idx_missing + group_trust_vax_missing + health_good_missing + income_ppp_norm_missing + medical_conditions_c_missing + minority_missing + severity_if_infected_avg_missing + side_effects_missing + side_effects_other_missing + social_norms_vax_avg_missing + trust_onlineinfo_missing + trust_social_missing + trust_traditional_missing + family_progressive_norms_nonvax_idx:fivec_collective_responsibility + trust_social:duration_socialmedia + C(country, Treatment(reference='IT'))",Full decision rule + COVID vaccination history inertia (covax_num)
B_COVID_MAIN_vax_willingness_Y_HABIT_PN_ITEMS,B_COVID,vax_willingness_Y,ordinal,22246,0.16239352517287436,"vax_willingness_Y ~ age + sex_female + M_education + income_ppp_norm + minority + M_religion + medical_conditions_c + health_good + covid_num + exper_illness + side_effects + side_effects_other + covax_num + fivec_collective_responsibility + fivec_confidence + fivec_low_complacency + fivec_low_constraints + disease_fear_avg + infection_likelihood_avg + severity_if_infected_avg + vaccine_risk_avg + trust_national_health_institutions_vax_info + trust_who_vax_info + trust_gp_vax_info + trust_national_gov_vax_info + trust_local_health_authorities_vax_info + group_trust_vax + family_climate_harm + family_lgbt_adoption_rights + family_immigration_tolerance + friends_climate_harm + friends_lgbt_adoption_rights + friends_immigration_tolerance + colleagues_climate_harm + colleagues_lgbt_adoption_rights + colleagues_immigration_tolerance + social_norms_vax_avg + moral_progressive_orientation + mfq_agreement_binding_idx + mfq_relevance_binding_idx + trust_traditional + trust_onlineinfo + trust_social + duration_socialmedia + duration_infomedia + contact_group_cohabitant + contact_group_noncohabitant + contact_group_friends + contact_group_colleagues + contact_group_others + discussion_group_cohabitant + discussion_group_noncohabitant + discussion_group_friends + discussion_group_colleagues + discussion_group_others + vax_convo_freq_cohabitants + vax_convo_freq_friends + vax_convo_freq_others + vax_convo_count_cohabitants + vax_convo_count_friends + vax_convo_count_others + M_religion_missing + colleagues_climate_harm_missing + colleagues_immigration_tolerance_missing + colleagues_lgbt_adoption_rights_missing + exper_illness_missing + family_climate_harm_missing + family_immigration_tolerance_missing + family_lgbt_adoption_rights_missing + friends_climate_harm_missing + friends_immigration_tolerance_missing + friends_lgbt_adoption_rights_missing + group_trust_vax_missing + health_good_missing + income_ppp_norm_missing + medical_conditions_c_missing + minority_missing + severity_if_infected_avg_missing + side_effects_missing + side_effects_other_missing + social_norms_vax_avg_missing + trust_onlineinfo_missing + trust_social_missing + trust_traditional_missing + family_climate_harm:fivec_collective_responsibility + family_lgbt_adoption_rights:fivec_collective_responsibility + family_immigration_tolerance:fivec_collective_responsibility + trust_social:duration_socialmedia + C(country, Treatment(reference='IT'))",Full decision rule + COVID vaccination history inertia (covax_num) (peer norms item-level)
B_COVID_MAIN_vax_willingness_Y_LEGIT,B_COVID,vax_willingness_Y,ordinal,22246,0.14730841026227104,"vax_willingness_Y ~ age + sex_female + M_education + income_ppp_norm + minority + M_religion + medical_conditions_c + health_good + covid_num + exper_illness + side_effects + side_effects_other + fivec_collective_responsibility + fivec_confidence + fivec_low_complacency + fivec_low_constraints + disease_fear_avg + infection_likelihood_avg + severity_if_infected_avg + vaccine_risk_avg + trust_national_health_institutions_vax_info + trust_who_vax_info + trust_gp_vax_info + trust_national_gov_vax_info + trust_local_health_authorities_vax_info + group_trust_vax + family_progressive_norms_nonvax_idx + friends_progressive_norms_nonvax_idx + colleagues_progressive_norms_nonvax_idx + social_norms_vax_avg + moral_progressive_orientation + mfq_agreement_binding_idx + mfq_relevance_binding_idx + trust_traditional + trust_onlineinfo + trust_social + duration_socialmedia + duration_infomedia + contact_group_cohabitant + contact_group_noncohabitant + contact_group_friends + contact_group_colleagues + contact_group_others + discussion_group_cohabitant + discussion_group_noncohabitant + discussion_group_friends + discussion_group_colleagues + discussion_group_others + vax_convo_freq_cohabitants + vax_convo_freq_friends + vax_convo_freq_others + vax_convo_count_cohabitants + vax_convo_count_friends + vax_convo_count_others + covax_legitimacy_scepticism_idx + M_religion_missing + colleagues_progressive_norms_nonvax_idx_missing + exper_illness_missing + family_progressive_norms_nonvax_idx_missing + friends_progressive_norms_nonvax_idx_missing + group_trust_vax_missing + health_good_missing + income_ppp_norm_missing + medical_conditions_c_missing + minority_missing + severity_if_infected_avg_missing + side_effects_missing + side_effects_other_missing + social_norms_vax_avg_missing + trust_onlineinfo_missing + trust_social_missing + trust_traditional_missing + family_progressive_norms_nonvax_idx:fivec_collective_responsibility + trust_social:duration_socialmedia + C(country, Treatment(reference='IT'))",Full decision rule + legitimacy/scepticism engine predictor
B_COVID_MAIN_vax_willingness_Y_LEGIT_PN_ITEMS,B_COVID,vax_willingness_Y,ordinal,22246,0.14851802196752986,"vax_willingness_Y ~ age + sex_female + M_education + income_ppp_norm + minority + M_religion + medical_conditions_c + health_good + covid_num + exper_illness + side_effects + side_effects_other + fivec_collective_responsibility + fivec_confidence + fivec_low_complacency + fivec_low_constraints + disease_fear_avg + infection_likelihood_avg + severity_if_infected_avg + vaccine_risk_avg + trust_national_health_institutions_vax_info + trust_who_vax_info + trust_gp_vax_info + trust_national_gov_vax_info + trust_local_health_authorities_vax_info + group_trust_vax + family_climate_harm + family_lgbt_adoption_rights + family_immigration_tolerance + friends_climate_harm + friends_lgbt_adoption_rights + friends_immigration_tolerance + colleagues_climate_harm + colleagues_lgbt_adoption_rights + colleagues_immigration_tolerance + social_norms_vax_avg + moral_progressive_orientation + mfq_agreement_binding_idx + mfq_relevance_binding_idx + trust_traditional + trust_onlineinfo + trust_social + duration_socialmedia + duration_infomedia + contact_group_cohabitant + contact_group_noncohabitant + contact_group_friends + contact_group_colleagues + contact_group_others + discussion_group_cohabitant + discussion_group_noncohabitant + discussion_group_friends + discussion_group_colleagues + discussion_group_others + vax_convo_freq_cohabitants + vax_convo_freq_friends + vax_convo_freq_others + vax_convo_count_cohabitants + vax_convo_count_friends + vax_convo_count_others + covax_legitimacy_scepticism_idx + M_religion_missing + colleagues_climate_harm_missing + colleagues_immigration_tolerance_missing + colleagues_lgbt_adoption_rights_missing + exper_illness_missing + family_climate_harm_missing + family_immigration_tolerance_missing + family_lgbt_adoption_rights_missing + friends_climate_harm_missing + friends_immigration_tolerance_missing + friends_lgbt_adoption_rights_missing + group_trust_vax_missing + health_good_missing + income_ppp_norm_missing + medical_conditions_c_missing + minority_missing + severity_if_infected_avg_missing + side_effects_missing + side_effects_other_missing + social_norms_vax_avg_missing + trust_onlineinfo_missing + trust_social_missing + trust_traditional_missing + family_climate_harm:fivec_collective_responsibility + family_lgbt_adoption_rights:fivec_collective_responsibility + family_immigration_tolerance:fivec_collective_responsibility + trust_social:duration_socialmedia + C(country, Treatment(reference='IT'))",Full decision rule + legitimacy/scepticism engine predictor (peer norms item-level)
B_COVID_MAIN_vax_willingness_Y_ENGINES,B_COVID,vax_willingness_Y,ordinal,22246,0.12304159522077107,"vax_willingness_Y ~ age + sex_female + M_education + income_ppp_norm + minority + M_religion + medical_conditions_c + health_good + covid_num + exper_illness + side_effects + side_effects_other + institutional_trust_avg + fivec_pro_vax_idx + vaccine_risk_avg + disease_fear_avg + social_norms_vax_avg + covax_legitimacy_scepticism_idx + M_religion_missing + exper_illness_missing + health_good_missing + income_ppp_norm_missing + medical_conditions_c_missing + minority_missing + side_effects_missing + side_effects_other_missing + social_norms_vax_avg_missing + C(country, Treatment(reference='IT'))","Compressed ABM backbone: one block per engine (trust, disposition, costs, stakes, norms, legitimacy)"
B_COVID_MAIN_vax_willingness_Y_ENGINES_STAKESdanger,B_COVID,vax_willingness_Y,ordinal,22246,0.22024448751973308,"vax_willingness_Y ~ age + sex_female + M_education + income_ppp_norm + minority + M_religion + institutional_trust_avg + fivec_pro_vax_idx + covid_perceived_danger_Y + social_norms_vax_avg + covax_legitimacy_scepticism_idx + M_religion_missing + income_ppp_norm_missing + minority_missing + social_norms_vax_avg_missing + C(country, Treatment(reference='IT'))",Compressed ABM backbone (engines) with stakes operationalized as perceived danger (covid_perceived_danger_Y)
B_COVID_MAIN_vax_willingness_T12_ENGINES_STAKESdanger,B_COVID,vax_willingness_T12,ordinal,22246,0.26164225919542144,"vax_willingness_T12 ~ age + sex_female + M_education + income_ppp_norm + minority + M_religion + institutional_trust_avg + fivec_pro_vax_idx + covid_perceived_danger_T12 + social_norms_vax_avg + covax_legitimacy_scepticism_idx + M_religion_missing + income_ppp_norm_missing + minority_missing + social_norms_vax_avg_missing + C(country, Treatment(reference='IT'))","Compressed ABM backbone (engines) for initial-offer willingness (T12), with stakes as perceived danger (covid_perceived_danger_T12)"
B_COVID_MAIN_vax_willingness_Y_ENGINES_COSTfear,B_COVID,vax_willingness_Y,ordinal,22246,0.1263326028642093,"vax_willingness_Y ~ age + sex_female + M_education + income_ppp_norm + minority + M_religion + medical_conditions_c + health_good + covid_num + exper_illness + side_effects + side_effects_other + institutional_trust_avg + fivec_pro_vax_idx + vaccine_fear_avg + disease_fear_avg + social_norms_vax_avg + covax_legitimacy_scepticism_idx + M_religion_missing + exper_illness_missing + health_good_missing + income_ppp_norm_missing + medical_conditions_c_missing + minority_missing + side_effects_missing + side_effects_other_missing + social_norms_vax_avg_missing + C(country, Treatment(reference='IT'))",Compressed ABM backbone (engines) with costs operationalized as fear (vaccine_fear_avg)
